firstname, lastname, Milestones, Cum, weekYear
anonfirstname1, anonlastname1, 1956, 1956, 38
anonfirstname2, anonlastname2, , , 38
anonfirstname3, anonlastname3, 3483, 3483, 38
anonfirstname1, anonlastname1, 2116, 4072, 39
anonfirstname2, anonlastname2, , , 39
anonfirstname3, anonlastname3, 886, 4369, 39
anonfirstname1, anonlastname1, 1127, 5199, 40
anonfirstname2, anonlastname2, , , 40
anonfirstname3, anonlastname3, 2741, 7110, 40
anonfirstname1, anonlastname1, , 5199, 41
anonfirstname2, anonlastname2, , , 41
anonfirstname3, anonlastname3, , 7110, 41
anonfirstname1, anonlastname1, , 5199, 42
anonfirstname2, anonlastname2, , , 42
anonfirstname3, anonlastname3, , 7110, 42
anonfirstname1, anonlastname1, , 5199, 43
anonfirstname2, anonlastname2, , , 43
anonfirstname3, anonlastname3, , 7110, 43
anonfirstname1, anonlastname1, , 5199, 44
anonfirstname2, anonlastname2, , , 44
anonfirstname3, anonlastname3, , 7110, 44
anonfirstname1, anonlastname1, , 5199, 45
anonfirstname2, anonlastname2, , , 45
anonfirstname3, anonlastname3, , 7110, 45
anonfirstname1, anonlastname1, , 5199, 46
anonfirstname2, anonlastname2, , , 46
anonfirstname3, anonlastname3, , 7110, 46
anonfirstname1, anonlastname1, , 5199, 47
anonfirstname2, anonlastname2, , , 47
anonfirstname3, anonlastname3, , 7110, 47
anonfirstname1, anonlastname1, , 5199, 48
anonfirstname2, anonlastname2, , , 48
anonfirstname3, anonlastname3, , 7110, 48
anonfirstname1, anonlastname1, , 5199, 49
anonfirstname2, anonlastname2, , , 49
anonfirstname3, anonlastname3, , 7110, 49
anonfirstname1, anonlastname1, , 5199, 50
anonfirstname2, anonlastname2, , , 50
anonfirstname3, anonlastname3, , 7110, 50
anonfirstname1, anonlastname1, , 5199, 51
anonfirstname2, anonlastname2, , , 51
anonfirstname3, anonlastname3, , 7110, 51
anonfirstname1, anonlastname1, , 5199, 52
anonfirstname2, anonlastname2, , , 52
anonfirstname3, anonlastname3, , 7110, 52
