firstname, lastname, Milestones, Cum, weekYear
anonfirstname1, anonlastname1, , , 38
anonfirstname2, anonlastname2, , , 38
anonfirstname3, anonlastname3, , , 38
anonfirstname1, anonlastname1, 5439, 5439, 39
anonfirstname2, anonlastname2, , , 39
anonfirstname3, anonlastname3, , , 39
anonfirstname1, anonlastname1, , 5439, 40
anonfirstname2, anonlastname2, 153, 153, 40
anonfirstname3, anonlastname3, , , 40
anonfirstname1, anonlastname1, 2626, 8065, 41
anonfirstname2, anonlastname2, 223, 376, 41
anonfirstname3, anonlastname3, , , 41
anonfirstname1, anonlastname1, 3719, 11784, 42
anonfirstname2, anonlastname2, 149, 525, 42
anonfirstname3, anonlastname3, , , 42
anonfirstname1, anonlastname1, , 11784, 43
anonfirstname2, anonlastname2, , 525, 43
anonfirstname3, anonlastname3, , , 43
anonfirstname1, anonlastname1, , 11784, 44
anonfirstname2, anonlastname2, , 525, 44
anonfirstname3, anonlastname3, , , 44
anonfirstname1, anonlastname1, , 11784, 45
anonfirstname2, anonlastname2, , 525, 45
anonfirstname3, anonlastname3, , , 45
anonfirstname1, anonlastname1, , 11784, 46
anonfirstname2, anonlastname2, , 525, 46
anonfirstname3, anonlastname3, , , 46
anonfirstname1, anonlastname1, , 11784, 47
anonfirstname2, anonlastname2, , 525, 47
anonfirstname3, anonlastname3, , , 47
anonfirstname1, anonlastname1, , 11784, 48
anonfirstname2, anonlastname2, , 525, 48
anonfirstname3, anonlastname3, , , 48
anonfirstname1, anonlastname1, , 11784, 49
anonfirstname2, anonlastname2, , 525, 49
anonfirstname3, anonlastname3, , , 49
anonfirstname1, anonlastname1, , 11784, 50
anonfirstname2, anonlastname2, , 525, 50
anonfirstname3, anonlastname3, , , 50
anonfirstname1, anonlastname1, , 11784, 51
anonfirstname2, anonlastname2, , 525, 51
anonfirstname3, anonlastname3, , , 51
anonfirstname1, anonlastname1, , 11784, 52
anonfirstname2, anonlastname2, , 525, 52
anonfirstname3, anonlastname3, , , 52
